http://lg.ix.net.ua
BGP router identifier 195.35.65.1, local AS number 15645
BGP table version is 93442649, main routing table version 93442649
75890 network entries using 18820720 bytes of memory
114962 path entries using 13795440 bytes of memory
46930/19800 BGP path/bestpath attribute entries using 11263200 bytes of memory
18064 BGP AS-PATH entries using 917296 bytes of memory
2 BGP ATTR_SET entries using 80 bytes of memory
1626 BGP community entries using 90054 bytes of memory
23 BGP extended community entries using 800 bytes of memory
101 BGP route-map cache entries using 6464 bytes of memory
0 BGP filter-list cache entries using 0 bytes of memory
BGP using 44893974 total bytes of memory
16408 received paths for inbound soft reconfiguration
BGP activity 10174181/10098025 prefixes, 60516035/60400689 paths, scan interval 60 secs

Neighbor        V           AS MsgRcvd MsgSent   TblVer  InQ OutQ Up/Down  State/PfxRcd
185.1.50.5      4        24700   20521  231185 93447678    0    0 6d10h          10
185.1.50.6      4        44827   27105  377893 93447678    0    0 1w1d            3
185.1.50.7      4        12788  593304 13306924 93447678    0    0 1y4w            6
185.1.50.8      4         8856  125963 1873887 93447678    0    0 5w4d           19
185.1.50.9      4        12883  104657 2365871 93447678    0    0 7w2d          131
185.1.50.13     4         3261  179454 2281278 93447678    0    0 6w5d          116
185.1.50.14     4        15497  849081 14432657 93447678    0    0 1y11w          36
185.1.50.15     4        12883  524326 8256910 93447678    0    0 28w3d         388
185.1.50.16     4         8788 1272514 10447182 93447678    0    0 40w3d          20
185.1.50.17     4        12593  159901 2281368 93447678    0    0 6w5d           31
185.1.50.18     4        13053       0       0        1    0    0 8w3d     Idle
185.1.50.19     4        35795  151253 2281058 93447678    0    0 6w5d            5
185.1.50.20     4        24962       0       0        1    0    0 2w2d     Active
185.1.50.21     4        24593  404589 10086754 93447678    0    0 38w0d          19
185.1.50.22     4        16007   18275  455123 93447678    0    0 1w4d            5
185.1.50.23     4        16066  162575 2281177 93447678    0    0 6w5d           23
185.1.50.24     4         6702    5371   96857 93447678    0    0 3d05h          29
185.1.50.25     4        12963    8140   96639 93447678    0    0 3d05h          99
185.1.50.26     4        12548  129916 3913449 93447678    0    0 12w5d           1
185.1.50.27     4        15895   88208 1313599 93447678    0    0 3w6d          142
185.1.50.29     4        13032   68672 1724270 93447678    0    0 5w3d           31
185.1.50.30     4         3254    4890   97115 93447678    0    0 3d06h           8
185.1.50.31     4        41165  164815 2514162 93447678    0    0 7w2d           10
185.1.50.33     4        42396  523094 2547265 93447678    0    0 6w5d           41
185.1.50.34     4         3326       0       0        1    0    0 1y5w     Idle
185.1.50.35     4         6846  920827 10867211 93447678    0    0 38w2d          50
185.1.50.37     4        31148  241266 3971072 93447678    0    0 12w6d         626
185.1.50.38     4        35297  445001 6057329 93447678    0    0 20w4d         345
185.1.50.39     4        48533  326973 8209348 93447678    0    0 28w4d          11
185.1.50.40     4        35362  539394 7224112 93447678    0    0 23w2d          53
185.1.50.41     4         6876    4611   49190 93447678    0    0 1d08h          29
185.1.50.42     4        15738  166632 2281106 93447678    0    0 6w5d           89
185.1.50.43     4        21379 1283448 11017254 93447678    0    0 43w5d          15
185.1.50.44     4        48648  171715 2280973 93447678    0    0 6w5d           62
185.1.50.45     4        43576  155131 2290194 93447678    0    0 6w5d           30
185.1.50.46     4        24703  179710 3238373 93447678    0    0 9w4d          113
185.1.50.47     4        20833   80348 2689090 93447678    0    0 7w6d            2
185.1.50.49     4        12687     118   20896 93447678    0    0 00:41:19       15
185.1.50.50     4        21497  239145 2290569 93447678    0    0 6w5d          223
185.1.50.51     4        25505  148012 1665264 93447678    0    0 4w6d            9
185.1.50.52     4        24896  169180 4719632 93447678    0    0 16w3d          11
185.1.50.53     4        48117   47621 1536174 93447678    0    0 4w4d            4
185.1.50.54     4        25386       0       0        1    0    0 1y8w     Idle
185.1.50.55     4        21312  111753 1661088 93447678    0    0 4w6d           14
185.1.50.56     4        41435  915716 11425556 93447678    0    0 41w4d          13
185.1.50.57     4        13249  210220 2596393 93447678    0    0 7w6d          422
185.1.50.59     4        28994  146092 2373561 93447678    0    0 6w5d            3
185.1.50.60     4        28907 1801344 2312015 93447678    0    0 6w5d        15218
185.1.50.61     4         8258 2039680 11641629 93447678    0    0 47w1d           6
185.1.50.62     4        28804       0       0        1    0    0 1y8w     Active
185.1.50.65     4        33817   73696 2341602 93447678    0    0 7w1d            4
185.1.50.66     4        57422       0       0        1    0    0 never    Active
185.1.50.67     4        29102   14044  106302 93447678    0    0 3d05h           1
185.1.50.68     4        13335  140221 2373432 93447678    0    0 6w5d            2
185.1.50.69     4         6886  968185 17970470 93447678    0    0 1y29w          56
185.1.50.70     4        25143  151167 2281038 93447678    0    0 6w5d           10
185.1.50.71     4        20873  151802 2281174 93447678    0    0 6w5d            6
185.1.50.72     4        13307   16804  468002 93447678    0    0 1w3d           55
185.1.50.73     4        21488  200732 2291220 93447678    0    0 6w5d          132
185.1.50.74     4        29491  116473 2461435 93447678    0    0 7w2d           84
185.1.50.75     4        24995  329573 8981009 93447678    0    0 32w0d           8
185.1.50.76     4        13121       0       0        1    0    0 3w6d     Active
185.1.50.77     4        35320 1218578 4919953 93447678    0    0 15w6d        1911
185.1.50.78     4        35365 2001019 9781204 93447678    0    0 36w2d           3
185.1.50.79     4        25500  146742 2280895 93447678    0    0 6w5d            4
185.1.50.80     4        25521  165368 2281347 93447678    0    0 6w5d           57
185.1.50.81     4        39810       0       0        1    0    0 never    Idle (Admin)
185.1.50.82     4        20714  416703 9749209 93447678    0    0 35w5d           5
185.1.50.83     4        29442       0       0        1    0    0 19w6d    Active
185.1.50.84     4        29062  439817 10031190 93447678    0    0 36w4d          13
185.1.50.85     4        21261       0       0        1    0    0 never    Idle
185.1.50.86     4        43967   31686  456847 93447678    0    0 1w3d           54
185.1.50.87     4        31061   53919 1674549 93447678    0    0 5w2d            2
185.1.50.88     4        13238       0       0        1    0    0 1y21w    Active
185.1.50.89     4        61371 1288287 5949012 93447678    0    0 20w5d           1
185.1.50.90     4        29632 1196340 3844518 93447678    0    0 12w2d         283
185.1.50.91     4        34056  162086 2281051 93447678    0    0 6w5d           36
185.1.50.92     4        39608  237186 3444499 93447678    0    0 9w3d           96
