https://rs4.swissix.ch/cgi-bin/bgplg?req=&cmd=show+ip+bgp+summary&
{'req': '', 'cmd': 'show ip bgp summary'}

Neighbor                   AS    MsgRcvd    MsgSent  OutQ Up/Down  State/PrfRcvd
91.206.52.75             8302     332918    1780405     0 09w6d11h      8/12000
91.206.52.23             8302     332798    1780399     0 09w6d11h      8/12000
2001:7f8:24::4b          8302     332960    2809819     0 09w6d11h      7/600
2001:7f8:24::b9         59622     448227    2809555     0 09w6d11h      9/600
2001:7f8:24::d2         61287     332896    2809811     0 09w6d11h      4/600
2001:7f8:24::17          8302     332866    2809823     0 09w6d11h      7/600
91.206.52.185           59622     332825    1780502     0 09w6d11h      1/12000
91.206.52.39            47176     324236    1779823     0 09w6d11h     31/12000
2001:7f8:24::da        199811     343012    2809845     0 09w6d11h      1/600
91.206.52.30            28875     342460    1792934     0 08w5d12h      1/12000
91.206.52.214           62512     300056    1780500     0 09w6d11h      2/12000
2001:7f8:24::16         15576     400250    2836854     0 09w6d11h     46/600
2001:7f8:24::c             42     330098    2809844     0 09w6d11h     52/600
2001:7f8:24::6           8758     329948    2809187     0 09w6d11h     18/600
91.206.52.6              8758     330674    1853129     0 09w6d11h     54/12000
2001:7f8:24::d6         62512     300056    2809847     0 09w6d11h      2/600
91.206.52.106          203969     335823    1780498     0 09w6d11h      2/12000
2001:7f8:24::27         47176     328067    2809819     0 09w6d11h      6/600
91.206.52.22            15576     400701    1842055     0 09w6d11h    176/12000
2001:7f8:24::1e         28875     342885    2821090     0 08w5d12h      1/600
2001:7f8:24::7c         61174     300040    2809843     0 09w6d11h      1/600
2001:7f8:24::/64            0          0          0     0 Never    Template
2001:7f8:24::bf         33891    1277681    2820843     0 01w1d13h   1018/2500
2001:7f8:24::aa          6939    3041991     374991     0 23:48:55 Idle
2001:7f8:24::8f          9002     375345    2797002     0 01w1d13h   1446/2000
91.206.52.0/23              0          0          0     0 Never    Template
91.206.52.142            3216      34291    2474443     0 00:58:00 Active
91.206.52.170            6939    1771864     386123     0 23:48:56 Idle

success.
